 =======================================================================================

                     LuAIMD: An ab initio molecular dynamics program

                                 Author: Yun-ting Bu

 =======================================================================================

 Basis: 6-31G**
 Charge =  0   Spin multiplicity = 1

 Cartesian coordinates (in Angstroms):

   Atom           X                 Y                 Z       
  ------  ----------------  ----------------  ----------------
    O        0.00000000        0.00000000         0.12091400
    H        0.00000000        0.75666800        -0.48365800
    H        0.00000000       -0.75666800        -0.48365800

=======================================
          Molecular Dynamics
=======================================

 Nstep=  1000
 Time=   500.00 fs
 Velocity initialization: Maxwell-Boltzmann distribution, at   298.15 K.
 MD intergral method: Velocity_Verlet
 Thermostat: Berendsen
 Bath temperature:   298.15 K
 Relaxation time:  30.00 fs
 Cartesian coordinates will be given in: pos.xyz.
 Bond length and bond angle you have chosen will be given in: mole_geom.dat.

------MD step------

time(fs)     Etot(Hartree)      Ekin(Hartree)      Epot(Hartree)      T(K)      t_scf(s)     t_grad(s)
   33.50     -76.0223518477       0.0040643527     -76.0264162004     285.20        0.119        0.231
   34.00     -76.0224015485       0.0041130237     -76.0265145722     288.62        0.118        0.185
   34.50     -76.0220940922       0.0038175153     -76.0259116076     267.88        0.113        0.204
   35.00     -76.0215871741       0.0033378631     -76.0249250373     234.23        0.118        0.210
   35.50     -76.0211939441       0.0029782260     -76.0241721702     208.99        0.115        0.176
   36.00     -76.0211970318       0.0030049445     -76.0242019763     210.86        0.111        0.192
   36.50     -76.0216364465       0.0034478331     -76.0250842796     241.94        0.104        0.181
   37.00     -76.0222540050       0.0040541151     -76.0263081201     284.49        0.112        0.179
   37.50     -76.0226753166       0.0044641873     -76.0271395039     313.26        0.120        0.211
   38.00     -76.0226727831       0.0044615572     -76.0271343402     313.08        0.112        0.180
   38.50     -76.0222899445       0.0040917054     -76.0263816500     287.12        0.116        0.207
   39.00     -76.0217735933       0.0035968421     -76.0253704354     252.40        0.115        0.202
   39.50     -76.0214121037       0.0032582110     -76.0246703147     228.64        0.106        0.215
   40.00     -76.0213908389       0.0032540165     -76.0246448554     228.34        0.105        0.177
   40.50     -76.0217169031       0.0035860877     -76.0253029908     251.64        0.108        0.171
   41.00     -76.0222214298       0.0040844582     -76.0263058880     286.62        0.111        0.175
   41.50     -76.0226327231       0.0044822830     -76.0271150061     314.53        0.114        0.167
   42.00     -76.0227009088       0.0045401631     -76.0272410719     318.59        0.113        0.173
   42.50     -76.0223364557       0.0041803541     -76.0265168098     293.34        0.113        0.170
   43.00     -76.0216982420       0.0035664322     -76.0252646742     250.26        0.107        0.175
   43.50     -76.0211478708       0.0030503563     -76.0241982271     214.05        0.105        0.172
   44.00     -76.0210354546       0.0029625457     -76.0239980003     207.89        0.103        0.178
   44.50     -76.0214340556       0.0033636651     -76.0247977207     236.04        0.106        0.168
   45.00     -76.0220619400       0.0039786685     -76.0260406085     279.19        0.108        0.188
   45.50     -76.0224986348       0.0044040778     -76.0269027126     309.04        0.114        0.173
   46.00     -76.0224931068       0.0044003102     -76.0268934170     308.78        0.120        0.171
   46.50     -76.0220979989       0.0040208763     -76.0261188752     282.15        0.111        0.177
   47.00     -76.0215836455       0.0035304347     -76.0251140802     247.74        0.105        0.175
   47.50     -76.0212575787       0.0032286963     -76.0244862750     226.56        0.118        0.177
   48.00     -76.0213116188       0.0032997509     -76.0246113697     231.55        0.114        0.184
   48.50     -76.0217449276       0.0037369212     -76.0254818488     262.23        0.107        0.187
   49.00     -76.0223669460       0.0043482005     -76.0267151466     305.12        0.110        0.176
   49.50     -76.0228741714       0.0048354182     -76.0277095896     339.31        0.110        0.178
   50.00     -76.0229853609       0.0049294020     -76.0279147630     345.91        0.113        0.194
   50.50     -76.0225978425       0.0045411414     -76.0271389839     318.66        0.115        0.178
   51.00     -76.0218883258       0.0038524706     -76.0257407964     270.34        0.114        0.180
   51.50     -76.0212559720       0.0032514382     -76.0245074103     228.16        0.113        0.182
   52.00     -76.0210762377       0.0030927023     -76.0241689400     217.02        0.106        0.176
   52.50     -76.0214183513       0.0034341545     -76.0248525058     240.98        0.113        0.199
   53.00     -76.0219857264       0.0039874194     -76.0259731459     279.81        0.113        0.210
   53.50     -76.0223560638       0.0043471513     -76.0267032151     305.05        0.123        0.216
   54.00     -76.0222896510       0.0042841553     -76.0265738063     300.63        0.117        0.212
   54.50     -76.0218499002       0.0038622118     -76.0257121120     271.02        0.137        0.273
   55.00     -76.0213110984       0.0033499569     -76.0246610553     235.07        0.115        0.231
   55.50     -76.0209817988       0.0030481396     -76.0240299384     213.89        0.119        0.198
   56.00     -76.0210571309       0.0031438071     -76.0242009380     220.61        0.101        0.180
