 =======================================================================================

                     LuAIMD: An ab initio molecular dynamics program

                                 Author: Yun-ting Bu

 =======================================================================================

 Basis: 6-31G**
 Charge =  0   Spin multiplicity = 1

 Cartesian coordinates (in Angstroms):

   Atom           X                 Y                 Z       
  ------  ----------------  ----------------  ----------------
    O        0.00000000        0.00000000         0.12091400
    H        0.00000000        0.75666800        -0.48365800
    H        0.00000000       -0.75666800        -0.48365800

=======================================
          Molecular Dynamics
=======================================

 Nstep=  1000
 Time=   500.00 fs
 Velocity initialization: Maxwell-Boltzmann distribution, at   298.15 K.
 MD intergral method: Velocity_Verlet
 Thermostat: Berendsen
 Bath temperature:   298.15 K
 Relaxation time:  30.00 fs
 Cartesian coordinates will be given in: pos.xyz.
 Bond length and bond angle you have chosen will be given in: mole_geom.dat.

------MD step------

time(fs)     Etot(Hartree)      Ekin(Hartree)      Epot(Hartree)      T(K)      t_scf(s)     t_grad(s)
  324.00     -76.2168255270       0.0049547581     -76.0278097308     347.69        0.515        7.639
  324.50     -76.2170526088       0.0051524293     -76.0277219385     361.56        0.540        7.401
  325.00     -76.2171005444       0.0051716281     -76.0272008626     362.90        0.714        7.528
  325.50     -76.2169235244       0.0049732882     -76.0262452938     348.99        0.509        7.551
  326.00     -76.2165925994       0.0046315538     -76.0250787839     325.01        0.541        7.646
  326.50     -76.2162525085       0.0042907304     -76.0240539616     301.09        0.518        7.445
  327.00     -76.2160496640       0.0040943645     -76.0235035156     287.31        0.493        7.463
  327.50     -76.2160685487       0.0041229748     -76.0236110491     289.32        0.666        7.350
  328.00     -76.2162989242       0.0043626897     -76.0243456811     306.14        0.522        7.530
  328.50     -76.2166414057       0.0047121909     -76.0254751553     330.67        0.501        7.262
  329.00     -76.2169484967       0.0050245114     -76.0266513967     352.58        0.521        7.682
  329.50     -76.2170880124       0.0051699683     -76.0275419615     362.79        0.547        8.047
  330.00     -76.2170055644       0.0050967572     -76.0279606351     357.65        0.571        7.356
  330.50     -76.2167572243       0.0048610651     -76.0279399868     341.11        0.520        7.458
  331.00     -76.2164893616       0.0046052403     -76.0277007137     323.16        0.575        7.497
  331.50     -76.2163642665       0.0044843520     -76.0275151412     314.68        0.562        7.272
  332.00     -76.2164640446       0.0045741571     -76.0275279705     320.98        0.502        7.521
  332.50     -76.2167331682       0.0048184390     -76.0276498919     338.12        0.583        7.421
  333.00     -76.2170083307       0.0050599379     -76.0276148815     355.07        0.519        7.450
  333.50     -76.2171208785       0.0051390734     -76.0271712401     360.62        0.525        7.490
  334.00     -76.2169975209       0.0049898598     -76.0262647046     350.15        0.540        7.974
  334.50     -76.2166934311       0.0046707789     -76.0250894699     327.76        0.522        7.379
  335.00     -76.2163514218       0.0043242864     -76.0239969689     303.44        0.529        7.576
  335.50     -76.2161260700       0.0041021688     -76.0233390878     287.86        0.547        7.556
  336.00     -76.2161152809       0.0040983701     -76.0233292802     287.59        0.504        7.172
  336.50     -76.2163230712       0.0043130842     -76.0239682445     302.66        0.522        7.552
  337.00     -76.2166603379       0.0046548835     -76.0250473264     326.64        0.510        7.566
  337.50     -76.2169808155       0.0049776642     -76.0262238668     349.29        0.541        7.175
  338.00     -76.2171418514       0.0051413464     -76.0271473069     360.78        0.509        7.569
  338.50     -76.2170707574       0.0050765995     -76.0275971631     356.24        0.527        7.432
  339.00     -76.2168089386       0.0048260785     -76.0275775519     338.66        0.535        7.520
  339.50     -76.2165042974       0.0045342371     -76.0273104313     318.18        0.485        7.494
  340.00     -76.2163389825       0.0043753616     -76.0271029989     307.03        0.586        7.671
  340.50     -76.2164202015       0.0044488944     -76.0271436286     312.19        0.518        7.606
  341.00     -76.2167045059       0.0047096191     -76.0273612553     330.48        0.515        7.436
  341.50     -76.2170200326       0.0049915294     -76.0274688460     350.27        0.571        7.600
  342.00     -76.2171766068       0.0051139324     -76.0271696811     358.86        0.527        7.572
  342.50     -76.2170802243       0.0049906381     -76.0263671587     350.20        0.486        7.172
  343.00     -76.2167754971       0.0046699887     -76.0252338987     327.70        0.511        7.390
  343.50     -76.2164069087       0.0042964477     -76.0241244790     301.49        0.491        7.217
  344.00     -76.2161403316       0.0040333122     -76.0234134477     283.03        0.484        7.414
  344.50     -76.2160901164       0.0039909638     -76.0233475909     280.05        0.527        7.552
  345.00     -76.2162765762       0.0041855687     -76.0239610932     293.71        0.669        7.612
  345.50     -76.2166207262       0.0045352327     -76.0250669431     318.25        0.538        7.363
  346.00     -76.2169746495       0.0048916322     -76.0263211289     343.26        0.539        7.689
  346.50     -76.2171801922       0.0050990649     -76.0273444998     357.81        0.499        7.068
  347.00     -76.2171404399       0.0050646026     -76.0278705710     355.39        0.491        7.011
  347.50     -76.2168768955       0.0048120887     -76.0278650991     337.68        0.438        7.463
  348.00     -76.2165362069       0.0044853518     -76.0275466215     314.75        0.515        7.575
  348.50     -76.2163213077       0.0042788438     -76.0272600247     300.26        0.537        7.289
  349.00     -76.2163681860       0.0043196198     -76.0272462281     303.12        0.456        7.513
  349.50     -76.2166501782       0.0045781731     -76.0274627315     321.26        0.589        7.579
  350.00     -76.2169904829       0.0048838187     -76.0276103342     342.71        0.537        7.446
  350.50     -76.2171809732       0.0050385860     -76.0273557276     353.57        0.503        7.533
  351.00     -76.2171108614       0.0049400336     -76.0265690397     346.65        0.604        7.470
  351.50     -76.2168170747       0.0046290733     -76.0254084695     324.83        0.495        7.396
  352.00     -76.2164453182       0.0042515264     -76.0242327628     298.34        0.512        7.358
  352.50     -76.2161678825       0.0039772009     -76.0234319218     279.09        0.493        7.659
  353.00     -76.2161070503       0.0039244144     -76.0232720730     275.38        0.534        7.467
  353.50     -76.2162895632       0.0041156508     -76.0238044556     288.80        0.527        7.205
  354.00     -76.2166387198       0.0044710667     -76.0248511160     313.74        0.506        7.616
  354.50     -76.2170027288       0.0048384360     -76.0260649747     339.52        0.517        7.423
  355.00     -76.2172143245       0.0050531695     -76.0270527378     354.59        0.538        7.492
  355.50     -76.2171670283       0.0050133026     -76.0275317338     351.79        0.523        7.482
  356.00     -76.2168796819       0.0047404286     -76.0274633375     332.65        0.654        7.473
  356.50     -76.2165073167       0.0043865398     -76.0270812962     307.81        0.533        7.522
  357.00     -76.2162678597       0.0041602681     -76.0267570206     291.94        0.548        7.768
  357.50     -76.2163085966       0.0041989194     -76.0267495321     294.65        0.523        7.711
  358.00     -76.2166026460       0.0044726121     -76.0270128209     313.85        0.569        7.349
  358.50     -76.2169641585       0.0048015957     -76.0272269978     336.94        0.597        7.420
  359.00     -76.2171739106       0.0049769476     -76.0270349456     349.24        0.599        7.779
  359.50     -76.2171131095       0.0048883686     -76.0262898062     343.03        0.514        7.212
  360.00     -76.2168150695       0.0045734287     -76.0251422841     320.93        0.542        7.556
  360.50     -76.2164262815       0.0041791157     -76.0239531043     293.26        0.574        7.585
  361.00     -76.2161242410       0.0038807941     -76.0231236354     272.32        0.598        7.369
  361.50     -76.2160402620       0.0038059921     -76.0229394185     267.08        0.505        7.676
  362.00     -76.2162117541       0.0039878001     -76.0234746289     279.83        0.568        7.873
  362.50     -76.2165704022       0.0043544920     -76.0245697530     305.56        0.609        7.320
  363.00     -76.2169661626       0.0047552251     -76.0258826820     333.68        0.504        7.406
  363.50     -76.2172243641       0.0050178074     -76.0270064914     352.11        0.532        7.356
  364.00     -76.2172238016       0.0050256631     -76.0276296386     352.66        0.535        7.420
  364.50     -76.2169679388       0.0047853511     -76.0276822768     335.80        0.490        7.452
  365.00     -76.2166042300       0.0044414778     -76.0273809424     311.67        0.703        7.690
  365.50     -76.2163549928       0.0042067660     -76.0271020185     295.20        0.557        7.493
  366.00     -76.2163798289       0.0042301855     -76.0271242099     296.84        0.472        7.488
  366.50     -76.2166630323       0.0044925731     -76.0274189374     315.25        0.532        7.789
  367.00     -76.2170225012       0.0048179630     -76.0276697363     338.09        0.516        7.412
  367.50     -76.2172357988       0.0049946443     -76.0275101641     350.49        0.522        7.296
  368.00     -76.2171785551       0.0049072459     -76.0267804086     344.35        0.537        7.964
  368.50     -76.2168801356       0.0045898295     -76.0256226319     322.08        0.540        7.671
  369.00     -76.2164862344       0.0041889276     -76.0243965978     293.95        0.596        7.442
  369.50     -76.2163024864       0.0038820532     -76.0235094608     272.41        0.452        7.685
  370.00     -76.2160846775       0.0037999458     -76.0232561565     266.65        0.544        7.538
  370.50     -76.2162512942       0.0039780699     -76.0237197684     279.15        0.451        7.154
  371.00     -76.2166076944       0.0043445272     -76.0247452399     304.87        0.532        7.528
  371.50     -76.2170006295       0.0047452575     -76.0259887639     332.99        0.568        7.669
  372.00     -76.2172508001       0.0050035399     -76.0270382941     351.11        0.534        7.395
  372.50     -76.2172347282       0.0050006034     -76.0275805973     350.90        0.538        7.535
  373.00     -76.2169592637       0.0047461573     -76.0275536014     333.05        0.506        7.571
  373.50     -76.2165797929       0.0043920728     -76.0271888470     308.20        0.573        7.300
  374.00     -76.2163248396       0.0041565686     -76.0268732086     291.68        0.608        7.641
  374.50     -76.2163528608       0.0041872915     -76.0268811905     293.83        0.511        7.505
  375.00     -76.2166414636       0.0044586953     -76.0271692294     312.88        0.573        7.282
  375.50     -76.2170034025       0.0047898892     -76.0274089522     336.12        0.507        7.627
  376.00     -76.2172162426       0.0049689975     -76.0272321995     348.69        0.542        7.669
  376.50     -76.2171576294       0.0048824458     -76.0264820659     342.61        0.651        7.365
  377.00     -76.2168566876       0.0045640901     -76.0253003195     320.27        0.482        7.482
  377.50     -76.2164562466       0.0041578688     -76.0240423810     291.77        0.532        7.599
  378.00     -76.2161331906       0.0038390928     -76.0231127195     269.40        0.489        7.452
  378.50     -76.2160228156       0.0037396260     -76.0228109147     262.42        0.483        7.595
  379.00     -76.2161700827       0.0039002202     -76.0232333798     273.69        0.589        7.462
  379.50     -76.2165145031       0.0042568900     -76.0242436112     298.72        0.502        7.427
  380.00     -76.2169104118       0.0046629891     -76.0255148866     327.21        0.480        7.329
  380.50     -76.2171822541       0.0049452614     -76.0266435352     347.02        0.531        7.797
  381.00     -76.2172039304       0.0049820236     -76.0273108771     349.60        0.571        7.500
  381.50     -76.2169729167       0.0047734710     -76.0274349302     334.97        0.541        7.522
  382.00     -76.2166312589       0.0044582720     -76.0272185885     312.85        0.541        7.674
  382.50     -76.2163960782       0.0042435973     -76.0270231421     297.78        0.523        7.545
  383.00     -76.2164228087       0.0042743247     -76.0271132272     299.94        0.521        7.440
  383.50     -76.2166965921       0.0045323045     -76.0274553993     318.04        0.526        7.768
  384.00     -76.2170433114       0.0048493499     -76.0277420235     340.29        0.526        7.618
  384.50     -76.2172505693       0.0050233116     -76.0276200083     352.50        0.528        7.568
  385.00     -76.2171976742       0.0049423141     -76.0269321696     346.81        0.598        7.881
  385.50     -76.2169083448       0.0046351053     -76.0258075964     325.26        0.608        7.514
  386.00     -76.2165180292       0.0042386000     -76.0245867464     297.43        0.583        7.553
  386.50     -76.2161986875       0.0039234722     -76.0236654499     275.32        0.555        7.516
  387.00     -76.2160846566       0.0038208021     -76.0233436536     268.11        0.563        7.504
  387.50     -76.2162228296       0.0039733463     -76.0237246382     278.82        0.497        7.270
  388.00     -76.2165554075       0.0043198512     -76.0246807225     303.13        0.633        7.636
  388.50     -76.2169386882       0.0047156072     -76.0258924565     330.90        0.516        7.667
  389.00     -76.2171981887       0.0049884275     -76.0269613199     350.05        0.538        7.401
  389.50     -76.2172091700       0.0050178881     -76.0275735162     352.12        0.645        7.623
  390.00     -76.2169713303       0.0048061284     -76.0276525686     337.26        0.532        7.816
  390.50     -76.2166280970       0.0044928543     -76.0274041854     315.27        0.479        7.010
  391.00     -76.2163944307       0.0042830172     -76.0271848123     300.55        0.472        7.703
  391.50     -76.2164207312       0.0043168457     -76.0272481789     302.92        0.551        7.518
  392.00     -76.2166897225       0.0045741388     -76.0275544994     320.98        0.633        7.316
  392.50     -76.2170317439       0.0048909672     -76.0278026303     343.21        0.486        7.601
  393.00     -76.2172425058       0.0050726063     -76.0276530056     355.96        0.553        7.530
  393.50     -76.2172052571       0.0050105194     -76.0269546642     351.60        0.508        7.561
  394.00     -76.2169392776       0.0047288111     -76.0258280317     331.83        0.536        7.528
  394.50     -76.2165697388       0.0043542414     -76.0245951135     305.55        0.619        7.602
  395.00     -76.2162584295       0.0040475764     -76.0236348642     284.03        0.521        7.579
  395.50     -76.2161345370       0.0039350427     -76.0232410836     276.13        0.488        7.424
  396.00     -76.2162468868       0.0040616132     -76.0235251270     285.01        0.504        7.703
  396.50     -76.2165462096       0.0043747732     -76.0243800888     306.99        0.513        7.502
  397.00     -76.2169014823       0.0047425360     -76.0255146491     332.79        0.535        7.515
  397.50     -76.2171508650       0.0050051620     -76.0265571352     351.22        0.507        7.648
  398.00     -76.2171765705       0.0050488052     -76.0272080667     354.29        0.533        7.614
  398.50     -76.2169739543       0.0048710514     -76.0273820141     341.81        0.569        7.366
  399.00     -76.2166693964       0.0045949932     -76.0272501835     322.44        0.507        7.654
  399.50     -76.2164555550       0.0044044324     -76.0271237993     309.07        0.510        7.685
  400.00     -76.2164700438       0.0044278977     -76.0272291354     310.72        0.494        7.518
  400.50     -76.2167030332       0.0046526614     -76.0275370857     326.49        0.611        7.204
  401.00     -76.2170078067       0.0049366273     -76.0277861984     346.41        0.608        7.474
  401.50     -76.2172014563       0.0051051406     -76.0276734113     358.24        0.506        7.100
  402.00     -76.2171732757       0.0050549853     -76.0270553128     354.72        0.567        7.322
  402.50     -76.2169327804       0.0048004182     -76.0260305586     336.86        0.540        7.478
  403.00     -76.2165888850       0.0044521696     -76.0248883354     312.42        0.537        7.371
  403.50     -76.2162905993       0.0041585026     -76.0239830061     291.81        0.515        7.726
  404.00     -76.2161627981       0.0040415633     -76.0236013806     283.61        0.519        7.655
  404.50     -76.2162581987       0.0041503773     -76.0238644506     291.24        0.546        7.321
  405.00     -76.2165363609       0.0044413432     -76.0246848051     311.66        0.493        7.760
  405.50     -76.2168759250       0.0047921151     -76.0257921101     336.27        0.568        7.687
  406.00     -76.2171217726       0.0050495638     -76.0268295756     354.34        0.684        7.414
  406.50     -76.2171570270       0.0051006356     -76.0275007719     357.92        0.488        7.778
  407.00     -76.2169707212       0.0049366613     -76.0277087015     346.42        0.557        7.520
  407.50     -76.2166771344       0.0046691141     -76.0276012542     327.64        0.530        7.372
  408.00     -76.2164570316       0.0044707626     -76.0274661638     313.72        0.508        7.610
  408.50     -76.2164453854       0.0044681950     -76.0275233109     313.54        0.623        7.671
  409.00     -76.2166442096       0.0046603430     -76.0277640635     327.03        0.504        7.459
  409.50     -76.2169274581       0.0049246987     -76.0279636058     345.58        0.493        7.472
  410.00     -76.2171279271       0.0051010618     -76.0278458389     357.95        0.550        7.560
  410.50     -76.2171352608       0.0050858569     -76.0272655626     356.89        0.488        7.563
  411.00     -76.2169448064       0.0048790961     -76.0262931497     342.38        0.524        7.371
  411.50     -76.2166459274       0.0045722258     -76.0251808812     320.84        0.521        7.705
  412.00     -76.2163722404       0.0042984841     -76.0242559031     301.63        0.517        7.579
  412.50     -76.2162424454       0.0041742331     -76.0237968861     292.92        0.639        7.744
  413.00     -76.2163128893       0.0042525175     -76.0239363579     298.41        0.465        7.411
  413.50     -76.2165546970       0.0045016249     -76.0246139769     315.89        0.491        7.413
  414.00     -76.2168628419       0.0048156490     -76.0255953318     337.92        0.527        7.535
  414.50     -76.2170984730       0.0050575014     -76.0265585625     354.90        0.538        7.451
  415.00     -76.2171539574       0.0051228933     -76.0272273721     359.48        0.656        7.452
  415.50     -76.2170132041       0.0049977629     -76.0274958998     350.70        0.543        7.477
  416.00     -76.2167689899       0.0047726560     -76.0274706410     334.91        0.521        7.414
  416.50     -76.2165738620       0.0045936032     -76.0273843797     322.34        0.518        7.396
  417.00     -76.2165468804       0.0045726391     -76.0274250181     320.87        0.556        7.215
  417.50     -76.2166998677       0.0047184902     -76.0276003486     331.11        0.528        7.779
  418.00     -76.2169358506       0.0049363117     -76.0277380107     346.39        0.533        7.649
  418.50     -76.2171142128       0.0050908892     -76.0276092881     357.24        0.417        5.732
  419.00     -76.2171313795       0.0050846283     -76.0270787892     356.80        0.356        5.551
  419.50     -76.2169693699       0.0049042526     -76.0261890513     344.14        0.357        5.564
  420.00     -76.2166963130       0.0046203934     -76.0251505868     324.22        0.357        5.531
  420.50     -76.2164296705       0.0043505853     -76.0242598320     305.29        0.396        5.585
  421.00     -76.2162836789       0.0042070982     -76.0237882823     295.22        0.356        5.529
  421.50     -76.2163218423       0.0042503824     -76.0238842390     298.26        0.353        5.573
  422.00     -76.2165299227       0.0044634258     -76.0245176423     313.21        0.355        5.552
  422.50     -76.2168189737       0.0047561910     -76.0254867859     333.75        0.359        5.553
  423.00     -76.2170608260       0.0050018207     -76.0264914525     350.99        0.354        5.515
  423.50     -76.2171468908       0.0050946292     -76.0272537721     357.50        0.359        5.589
  424.00     -76.2170457920       0.0050052956     -76.0276380263     351.23        0.356        5.576
  424.50     -76.2168257086       0.0048005797     -76.0277024537     336.87        0.370        5.561
  425.00     -76.2166191528       0.0046077185     -76.0276399129     323.33        0.361        5.490
  425.50     -76.2165451582       0.0045393573     -76.0276360807     318.54        0.355        5.574
  426.00     -76.2166391143       0.0046270673     -76.0277407617     324.69        0.366        5.586
  426.50     -76.2168366449       0.0048069743     -76.0278400816     337.32        0.354        5.527
  427.00     -76.2170168066       0.0049622215     -76.0277389222     348.21        0.362        5.538
  427.50     -76.2170715887       0.0049904852     -76.0272899801     350.19        0.352        5.549
  428.00     -76.2169607633       0.0048567507     -76.0264910538     340.81        0.365        5.581
  428.50     -76.2167275290       0.0046074623     -76.0255044351     323.32        0.369        5.542
  429.00     -76.2164737002       0.0043451647     -76.0245978675     304.91        0.361        5.555
  429.50     -76.2163110622       0.0041802006     -76.0240409288     293.33        0.351        5.511
  430.00     -76.2163118186       0.0041821175     -76.0240023995     293.47        0.355        5.553
  430.50     -76.2164773376       0.0043497086     -76.0244864603     305.23        0.368        5.538
  431.00     -76.2167365259       0.0046106530     -76.0253299560     323.54        0.355        5.554
  431.50     -76.2169759641       0.0048523084     -76.0262647629     340.50        0.360        5.495
  432.00     -76.2170923935       0.0049735657     -76.0270261045     349.01        0.358        5.570
  432.50     -76.2170451389       0.0049353434     -76.0274622056     346.32        0.358        5.584
  433.00     -76.2168795074       0.0047818965     -76.0275882751     335.56        0.361        5.577
  433.50     -76.2167028965       0.0046164456     -76.0275491122     323.95        0.359        5.500
  434.00     -76.2166238332       0.0045419942     -76.0275095739     318.72        0.349        5.554
  434.50     -76.2166902283       0.0046023399     -76.0275418705     322.96        0.375        5.569
  435.00     -76.2168636132       0.0047583010     -76.0275795076     333.90        0.353        5.537
  435.50     -76.2170423659       0.0049113138     -76.0274620990     344.64        0.358        5.524
  436.00     -76.2171186650       0.0049590945     -76.0270410121     347.99        0.350        5.520
  436.50     -76.2170366228       0.0048514917     -76.0262832924     340.44        0.355        5.543
  437.00     -76.2168203424       0.0046165346     -76.0253149874     323.95        0.366        5.532
  437.50     -76.2165598884       0.0043455748     -76.0243827249     304.94        0.374        5.546
  438.00     -76.2163669197       0.0041492143     -76.0237580412     291.16        0.355        5.490
  438.50     -76.2163239844       0.0041075368     -76.0236321443     288.24        0.356        5.555
  439.00     -76.2164491588       0.0042359544     -76.0240438077     297.25        0.356        5.543
  439.50     -76.2166885521       0.0044788865     -76.0248649322     314.29        0.359        5.536
  440.00     -76.2169392454       0.0047334381     -76.0258487434     332.16        0.362        5.489
  440.50     -76.2170949637       0.0048947878     -76.0267248353     343.48        0.360        5.562
  441.00     -76.2170961133       0.0049048452     -76.0273043639     344.18        0.362        5.539
  441.50     -76.2169600627       0.0047807344     -76.0275475320     335.47        0.358        5.612
  442.00     -76.2167734888       0.0046061729     -76.0275574815     323.23        0.357        5.483
  442.50     -76.2166474462       0.0044872023     -76.0275012692     314.88        0.345        5.558
  443.00     -76.2166570373       0.0044939545     -76.0274995940     315.35        0.376        5.574
  443.50     -76.2167979713       0.0046198113     -76.0275470155     324.18        0.353        5.523
  444.00     -76.2169864416       0.0047829398     -76.0275126950     335.63        0.379        5.524
  444.50     -76.2171062362       0.0048727370     -76.0272279020     341.93        0.356        5.535
  445.00     -76.2170759702       0.0048143986     -76.0266078829     337.84        0.358        5.590
  445.50     -76.2168942768       0.0046114309     -76.0257283255     323.59        0.364        5.552
  446.00     -76.2166378079       0.0043424971     -76.0248101169     304.72        0.374        5.547
  446.50     -76.2164194256       0.0041198875     -76.0241284384     289.10        0.358        5.513
  447.00     -76.2163337072       0.0040359795     -76.0238999300     283.21        0.353        5.579
  447.50     -76.2164157513       0.0041231948     -76.0241990160     289.33        0.377        5.535
  448.00     -76.2166278370       0.0043417585     -76.0249318482     304.67        0.358        5.636
  448.50     -76.2168767964       0.0045978731     -76.0258734223     322.64        0.379        5.653
  449.00     -76.2170551611       0.0047848605     -76.0267535950     335.76        0.377        5.738
  449.50     -76.2170901697       0.0048312253     -76.0273601457     339.02        0.369        5.656
  450.00     -76.2169796378       0.0047349604     -76.0276169695     332.26        0.384        5.715
  450.50     -76.2167961716       0.0045664287     -76.0276006712     320.44        0.360        5.488
  451.00     -76.2166529802       0.0044340275     -76.0274819448     311.15        0.370        5.580
  451.50     -76.2166428479       0.0044248726     -76.0274138998     310.50        0.359        5.559
  452.00     -76.2167808878       0.0045507598     -76.0274262424     319.34        0.361        5.565
  452.50     -76.2169892588       0.0047354467     -76.0273976838     332.30        0.361        5.520
  453.00     -76.2171410595       0.0048580609     -76.0271378390     340.90        0.358        5.581
  453.50     -76.2171367951       0.0048263845     -76.0265270535     338.68        0.365        5.602
  454.00     -76.2169610990       0.0046304409     -76.0256150703     324.93        0.359        5.574
  454.50     -76.2166865373       0.0043450718     -76.0246168565     304.90        0.355        5.519
  455.00     -76.2164315223       0.0040882170     -76.0238209339     286.88        0.356        5.547
  455.50     -76.2163027320       0.0039642999     -76.0234702975     278.18        0.353        5.567
  456.00     -76.2163501199       0.0040203148     -76.0236711269     282.11        0.363        5.691
  456.50     -76.2165490943       0.0042290659     -76.0243577714     296.76        0.378        5.672
  457.00     -76.2168124988       0.0045020722     -76.0253191238     315.92        0.356        5.516
  457.50     -76.2170269747       0.0047262773     -76.0262751776     331.65        0.364        5.579
  458.00     -76.2171014420       0.0048120192     -76.0269790296     337.67        0.358        5.572
  458.50     -76.2170102184       0.0047347234     -76.0273091116     332.25        0.359        5.560
  459.00     -76.2168111236       0.0045511616     -76.0273124817     319.37        0.360        5.524
  459.50     -76.2166232347       0.0043761287     -76.0271689480     307.08        0.363        5.575
  460.00     -76.2165648840       0.0043216526     -76.0270773650     303.26        0.361        5.568
  460.50     -76.2166804780       0.0044275425     -76.0271194525     310.69        0.353        5.559
  461.00     -76.2169060594       0.0046305398     -76.0271960730     324.94        0.368        5.502
  461.50     -76.2171060752       0.0048010849     -76.0270961060     336.90        0.357        5.557
  462.00     -76.2171583738       0.0048248265     -76.0266530847     338.57        0.373        5.571
  462.50     -76.2170255900       0.0046703754     -76.0258722920     327.73        0.365        5.561
  463.00     -76.2167689636       0.0044016794     -76.0249459744     308.88        0.357        5.513
  463.50     -76.2165082346       0.0041382885     -76.0241654541     290.39        0.358        5.540
  464.00     -76.2163605484       0.0039952173     -76.0237950602     280.35        0.353        5.575
  464.50     -76.2163898094       0.0040333387     -76.0239696782     283.03        0.355        5.565
  465.00     -76.2165829728       0.0042367093     -76.0246480473     297.30        0.358        5.534
  465.50     -76.2168568600       0.0045204610     -76.0256289016     317.21        0.354        5.526
  466.00     -76.2170918189       0.0047650769     -76.0266220267     334.38        0.359        5.575
  466.50     -76.2171823424       0.0048667759     -76.0273542260     341.51        0.357        5.550
  467.00     -76.2170883269       0.0047872899     -76.0276770763     335.93        0.359        5.551
  467.50     -76.2168639619       0.0045803586     -76.0276307169     321.41        0.350        5.479
  468.00     -76.2166406517       0.0043729140     -76.0274176142     306.86        0.358        5.571
  468.50     -76.2165578185       0.0042971044     -76.0272750398     301.54        0.359        5.546
  469.00     -76.2166740577       0.0044060217     -76.0273093379     309.18        0.356        5.545
  469.50     -76.2169222025       0.0046331042     -76.0274127731     325.12        0.372        5.476
  470.00     -76.2171499415       0.0048325970     -76.0273402824     339.11        0.353        5.572
  470.50     -76.2172176240       0.0048732090     -76.0268909359     341.96        0.367        5.569
  471.00     -76.2170793982       0.0047152844     -76.0260539383     330.88        0.365        5.555
  471.50     -76.2167985138       0.0044247652     -76.0250267874     310.50        0.362        5.514
  472.00     -76.2165035382       0.0041299273     -76.0241201993     289.81        0.351        5.532
  472.50     -76.2163228877       0.0039569034     -76.0236234289     277.66        0.344        5.557
  473.00     -76.2163309180       0.0039766821     -76.0236951154     279.05        0.360        5.547
  473.50     -76.2165212271       0.0041796136     -76.0243108029     293.29        0.360        5.528
  474.00     -76.2168109053       0.0044807064     -76.0252734112     314.42        0.355        5.532
  474.50     -76.2170725266       0.0047525590     -76.0262808339     333.50        0.365        5.571
  475.00     -76.2171864232       0.0048775945     -76.0270347852     342.27        0.364        5.544
  475.50     -76.2170980002       0.0048038421     -76.0273600485     337.10        0.359        5.570
  476.00     -76.2168550105       0.0045794069     -76.0272842945     321.35        0.362        5.509
  476.50     -76.2165956169       0.0043382732     -76.0270216774     304.43        0.361        5.581
  477.00     -76.2164761420       0.0042291160     -76.0268395615     296.77        0.354        5.540
  477.50     -76.2165722217       0.0043213813     -76.0268739164     303.24        0.351        5.589
  478.00     -76.2168243086       0.0045555959     -76.0270282641     319.68        0.362        5.494
  478.50     -76.2170758446       0.0047815332     -76.0270461533     335.53        0.354        5.593
  479.00     -76.2171757841       0.0048564702     -76.0267020200     340.79        0.362        5.646
  479.50     -76.2170666729       0.0047291882     -76.0259608167     331.86        0.376        5.713
  480.00     -76.2168048519       0.0044588012     -76.0250057803     312.88        0.374        5.563
  480.50     -76.2165182993       0.0041731000     -76.0241465328     292.84        0.356        5.542
  481.00     -76.2163401135       0.0040029574     -76.0236822325     280.90        0.363        5.585
  481.50     -76.2163516613       0.0040264094     -76.0237866412     282.54        0.358        5.567
  482.00     -76.2165522054       0.0042393536     -76.0244479460     297.48        0.360        5.516
  482.50     -76.2168594258       0.0045573749     -76.0254719562     319.80        0.353        5.541
  483.00     -76.2171399657       0.0048473399     -76.0265464732     340.15        0.365        5.590
  483.50     -76.2172641128       0.0049821537     -76.0273545972     349.61        0.363        5.551
  484.00     -76.2171695741       0.0049028275     -76.0277062697     344.04        0.384        5.559
  484.50     -76.2169057352       0.0046594516     -76.0276313494     326.96        0.359        5.525
  485.00     -76.2166229837       0.0043978517     -76.0273654814     308.61        0.367        5.581
  485.50     -76.2164926391       0.0042807852     -76.0272019119     300.39        0.358        5.565
  486.00     -76.2165965505       0.0043832124     -76.0272851598     307.58        0.354        5.596
  486.50     -76.2168679639       0.0046384376     -76.0275016093     325.49        0.363        5.502
  487.00     -76.2171361541       0.0048824361     -76.0275647201     342.61        0.367        5.583
  487.50     -76.2172393025       0.0049619725     -76.0272260631     348.19        0.366        5.552
  488.00     -76.2171178024       0.0048236949     -76.0264453111     338.49        0.361        5.600
  488.50     -76.2168329886       0.0045316460     -76.0254154334     318.00        0.359        5.494
  489.00     -76.2165208310       0.0042215569     -76.0244628488     296.24        0.369        5.543
  489.50     -76.2163219827       0.0040318032     -76.0239038317     282.92        0.365        5.575
  490.00     -76.2163229451       0.0040454679     -76.0239255127     283.88        0.360        5.568
  490.50     -76.2165246145       0.0042599912     -76.0245232852     298.93        0.356        5.537
  491.00     -76.2168424557       0.0045887191     -76.0255028558     322.00        0.366        5.536
  491.50     -76.2171378836       0.0048934285     -76.0265457697     343.38        0.364        5.584
  492.00     -76.2172753779       0.0050414878     -76.0273269528     353.77        0.360        5.577
  492.50     -76.2171893180       0.0049708097     -76.0276518058     348.81        0.361        5.559
