   Bond length group 2 : 4- 5   1.21196
   Bond length group 2 : 4- 5   1.19624
   Bond length group 2 : 4- 5   1.16328
   Bond length group 2 : 4- 5   1.11404
   Bond length group 2 : 4- 5   1.05049
   Bond length group 2 : 4- 5   0.97650
   Bond length group 2 : 4- 5   0.89937
   Bond length group 2 : 4- 5   0.83178
   Bond length group 2 : 4- 5   0.79156
   Bond length group 2 : 4- 5   0.79362
   Bond length group 2 : 4- 5   0.83701
   Bond length group 2 : 4- 5   0.90548
   Bond length group 2 : 4- 5   0.98127
   Bond length group 2 : 4- 5   1.05229
   Bond length group 2 : 4- 5   1.11178
   Bond length group 2 : 4- 5   1.15632
   Bond length group 2 : 4- 5   1.18430
   Bond length group 2 : 4- 5   1.19503
   Bond length group 2 : 4- 5   1.18826
   Bond length group 2 : 4- 5   1.16415
   Bond length group 2 : 4- 5   1.12338
   Bond length group 2 : 4- 5   1.06750
   Bond length group 2 : 4- 5   0.99952
   Bond length group 2 : 4- 5   0.92524
   Bond length group 2 : 4- 5   0.85500
   Bond length group 2 : 4- 5   0.80457
   Bond length group 2 : 4- 5   0.79060
   Bond length group 2 : 4- 5   0.81873
   Bond length group 2 : 4- 5   0.87759
   Bond length group 2 : 4- 5   0.94939
   Bond length group 2 : 4- 5   1.02012
   Bond length group 2 : 4- 5   1.08142
   Bond length group 2 : 4- 5   1.12888
   Bond length group 2 : 4- 5   1.16039
   Bond length group 2 : 4- 5   1.17507
   Bond length group 2 : 4- 5   1.17263
   Bond length group 2 : 4- 5   1.15320
   Bond length group 2 : 4- 5   1.11749
   Bond length group 2 : 4- 5   1.06702
   Bond length group 2 : 4- 5   1.00465
   Bond length group 2 : 4- 5   0.93565
   Bond length group 2 : 4- 5   0.86915
   Bond length group 2 : 4- 5   0.81892
   Bond length group 2 : 4- 5   0.80006
   Bond length group 2 : 4- 5   0.81965
   Bond length group 2 : 4- 5   0.87010
   Bond length group 2 : 4- 5   0.93585
   Bond length group 2 : 4- 5   1.00318
   Bond length group 2 : 4- 5   1.06319
   Bond length group 2 : 4- 5   1.11089
   Bond length group 2 : 4- 5   1.14374
   Bond length group 2 : 4- 5   1.16057
   Bond length group 2 : 4- 5   1.16089
   Bond length group 2 : 4- 5   1.14471
   Bond length group 2 : 4- 5   1.11259
   Bond length group 2 : 4- 5   1.06594
   Bond length group 2 : 4- 5   1.00741
   Bond length group 2 : 4- 5   0.94187
   Bond length group 2 : 4- 5   0.87767
   Bond length group 2 : 4- 5   0.82741
   Bond length group 2 : 4- 5   0.80534
   Bond length group 2 : 4- 5   0.81929
   Bond length group 2 : 4- 5   0.86383
   Bond length group 2 : 4- 5   0.92480
   Bond length group 2 : 4- 5   0.98864
